gene,P15_L3_806506.R2.clean_H,P11-N_L2_807507.R2.clean_H,P13_L3_804504.R2.clean_H,P11-2_802502.R2.clean_L,P11-1_801501.R2.clean_L,P2-N_L3_808508.R2.clean_M,P11-2_802502.R2.clean_H,P2-N_L3_808508.R2.clean_L,P11-N_L2_807507.R2.clean_L,P15_L3_806506.R2.clean_L,P11-2_802502.R2.clean_M,P13_L3_804504.R2.clean_L,P12_L3_803503.R2.clean_L,P2-N_L3_808508.R2.clean_H,P11-1_801501.R2.clean_H,P12_L3_803503.R2.clean_H,P14_L3_805505.R2.clean_L,P13_L3_804504.R2.clean_M,P11-N_L2_807507.R2.clean_M,P14_L3_805505.R2.clean_H,P12_L3_803503.R2.clean_M,P11-1_801501.R2.clean_M
Gm14363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14371,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm14372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14373,4,0,215,157,7,7,111,6,0,12,259,86,3,11,13,8,0,258,0,101,13,2
Gm14374,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Gm14375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14382,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,32,0,0,0,0
Gm14383,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Gm14385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14387,0,0,1,0,0,3,0,0,15,0,1,0,0,0,0,0,34,19,0,2,0,0
Gm14388,19,21,346,112,39,9,119,40,24,37,87,126,35,17,9,44,44,283,20,86,35,23
Gm14389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14390,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Gm14391,0,0,110,2,3,0,5,1,0,1,6,2,0,1,0,4,1,0,2,2,4,0
Gm14392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14393,1,0,0,0,23,0,0,1,0,0,1,1,2,0,1,0,0,1,0,1,0,0
Gm14394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14398,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
Gm14399,0,9,17,1,1,0,2,1,3,26,3,6,0,23,1,1,5,2,2,17,0,1
Gm14400,0,0,5,0,1,0,1,0,0,0,13,1,0,0,0,0,0,1,0,1,2,0
Gm14401,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Gm14402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gm14403,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Gm14404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14405,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Gm14406,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
Gm14407,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gm14408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14409,4,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
Gm14410,16,8,69,272,12,1,99,60,7,105,54,12,2,8,9,53,31,371,9,188,5,17
Gm14411,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
Gm14412,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
Gm14413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Gm14414,6,0,10,7,0,1,7,10,0,3,4,23,0,2,0,1,1,6,0,9,2,1
Gm14415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
Gm14417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm14418,0,0,2,0,0,1,0,1,0,9,0,1,0,0,0,0,0,0,0,12,0,1
Gm14419,0,0,17,3,1,0,2,0,0,2,3,2,2,0,5,2,1,2,2,13,1,0
Gm14420,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,4,0,1,0,1
Gm14421,1,0,7,0,0,0,0,1,2,2,0,0,0,0,0,0,4,9,0,0,1,0
